company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
 Ostrzy Entertainment,O19363,07/25/2013,07/20/2013,10808.55,Dr. Kyleigh Jacobi,Impedit voluptas non assumenda praesentium sunt qui exercitationem.,other,""
 KT Koty,K79966,05-01-2014,05-01-2014,16597.56,Marlin Runolfsdottir,Id nulla architecto.,other,negligible;Internal;Important;other
 Big Company 1,B69589,2014-02-23,2014-02-14,14993.17,Hilma Kuhn,"Occaecati eos natus rerum quia dolor atque.
Eos iure deleniti rerum tempora laborum laudantium ut.
Qui dolores eaque.",rejected,internal;Delegation;Negligible;important
Company X,C17071,2015-05-27,2015-05-25,11602.36,Dr. Brandi Haley,"Beatae quidem omnis numquam molestiae autem quis labore.
Ipsam et qui repellat aperiam dolor consequatur non.
Voluptas quis nihil sapiente doloribus eligendi fuga mollitia.
Dolorum impedit quos libero consequatur unde ratione enim.",other,delegation
 TT Internet,T45720,2014-04-24,2014-04-20,17448.81,Connor Greenholt,Est impedit eum corrupti voluptatem delectus asperiores ullam.,other,Negligible;important;internal;delegation;Other
 TT Internet,T77998,11/22/2014,11/21/2014,16647.98,Shanna Morar,Quo non voluptatem rem.,other,other
 Wesoła Gżegżółka,W39082,10-10-2013,02-10-2013,16210.24,Mr. Javon Tromp,Laboriosam distinctio maiores.,accepted,Important
Wesoła Gżegżółka,W17675,08/05/2014,07/27/2014,18827.79,Marianne Nader,Voluptate et quia.,accepted,client
 Microsoft,M66458,10/27/2014,10/20/2014,12567.3,Dallas Jones,Et quae hic vitae quaerat amet.,accepted,Internal;negligible
 KT Koty,K45477,27-08-2014,20-08-2014,14428.45,Henriette Kunde,"Recusandae nisi perferendis velit et tenetur quo voluptatem.
Enim assumenda est numquam eius cumque omnis nostrum.",other,Negligible;delegation;Client
BP Biznes,B55917,11/03/2012,10/31/2012,17708.12,Vern Dibbert,"Reiciendis iusto voluptas eaque aut nulla.
Itaque harum et.
Corrupti non culpa.",rejected,internal;Other
SB Komputery,S97610,2013-08-03,2013-07-26,18899.48,Modesto Jerde,Eos sit debitis.,accepted,other;negligible
 KT Koty,K45439,2012-10-21,2012-10-12,13389.7,Idell Beahan,"Quos consequatur voluptatem sunt aspernatur natus.
Quia omnis nulla voluptas laboriosam at non.",other,other;important;client
 SB Komputery,S21968,04-06-2014,29-05-2014,13488.52,Ewell Ledner PhD,"Laboriosam nemo distinctio.
Explicabo illo saepe expedita.",rejected,important;internal;negligible;delegation;client
Company X,C64943,17-08-2013,10-08-2013,13606.86,Milan Reichel,Amet voluptatem in perspiciatis animi.,accepted,negligible;Other;client
 Big Company 1,B67185,2015-03-06,2015-03-02,13306.57,Coy Schumm,"Quaerat vel esse.
Molestiae aliquid nulla et voluptatem expedita dignissimos itaque.",rejected,delegation;internal;client;important
Comcast,C18865,14-12-2012,08-12-2012,13531.55,Frankie Schultz,Totam ullam rem eum beatae ut earum.,rejected,client;Internal
Ostrzy Entertainment,O5021,2014-09-18,2014-09-17,14297.56,Talia Conroy,"Tempore quis autem laboriosam nobis assumenda voluptatem.
Et distinctio deleniti voluptatem quis.
Debitis ullam qui sunt similique aut.
Dolorem quaerat impedit harum consequatur omnis sint id.",rejected,Internal;Other;Negligible;delegation;client
Company X,C47238,01/16/2015,01/11/2015,10503.63,Maia Mraz,Nulla possimus dolorum asperiores ad.,other,Internal;Other;client
Ostrzy Entertainment,O46110,13-06-2014,05-06-2014,16219.78,Dr. Cristina Bechtelar,"Distinctio aut molestiae est delectus consectetur est.
Aliquam aspernatur et et.
Qui est sunt.
Dolorem eveniet asperiores.",rejected,Negligible;Other;Delegation;important;client
 Company X,C17815,09-04-2014,07-04-2014,15352.56,Violet Grady,Vero commodi inventore cupiditate et sit.,accepted,Other;internal
 Comcast,C22487,07/23/2013,07/21/2013,13094.26,Eugenia Mills III,Sed repellendus qui quia rem aut ratione.,accepted,Client;delegation;internal;other
 Ostrzy Entertainment,O39753,2012-11-04,2012-10-30,16389.46,Dr. Jesse Reilly,Voluptatum at placeat sit impedit.,other,""
 Wesoła Gżegżółka,W97503,21-03-2015,21-03-2015,16582.14,Claire Hermiston,Quia enim harum aut sunt molestiae rerum.,accepted,""
MS Szpadel,M37871,2013-03-22,2013-03-13,10099.6,Ms. Enoch Miller,"Autem amet nesciunt sed maxime modi.
Magni non dolorum eos esse.
Ea dolore quos et deserunt velit.
Quis molestiae consectetur.",other,delegation;Client
"Monterail, Inc.",M66273,2014-04-14,2014-04-07,11213.32,Dr. Adrien Kovacek,Magni quas et accusamus est soluta.,rejected,internal;delegation;important;negligible;other
 Big Company 1,B38158,2013-02-27,2013-02-19,10441.89,Myrtie Corwin,"Et eos corporis.
Occaecati enim est et et quaerat et consequatur.",other,delegation;other;negligible;Internal
BP Biznes,B18074,2015-05-22,2015-05-21,12673.75,Darrin Altenwerth,Error voluptatibus ullam deleniti.,other,Other;negligible;internal;client
MS Szpadel,M83648,18-12-2013,11-12-2013,11081.90,Ms. Ross Weber,"Aut cumque consequuntur.
Tempore maiores rem qui explicabo eos.",accepted,important;client
 Wesoła Gżegżółka,W61169,2014-04-19,2014-04-13,13230.87,Marcella Lindgren,"Quod officia excepturi.
Laboriosam corporis sequi.",rejected,internal
MS Szpadel,M25709,2012-11-26,2012-11-23,12261.2,Furman Carroll I,Doloremque nihil accusamus.,accepted,Internal;other;negligible;Delegation
BP Biznes,B15537,2014-01-29,2014-01-28,19272.12,Jayden Cartwright,Iusto omnis maiores aliquid.,other,""
 Ostrzy Entertainment,O34181,01/22/2015,01/21/2015,19482.26,Roel Keebler DVM,Nulla perspiciatis et est odit.,other,""
Big Company 1,B10217,20-01-2014,19-01-2014,19610.48,Lenna Abbott,Ut et quibusdam exercitationem quia.,other,negligible;internal;other;Important
SB Komputery,S35653,15-08-2013,09-08-2013,10448.36,Era Smith PhD,Dolores aliquam et error sit.,rejected,Important
 Ostrzy Entertainment,O6462,27-02-2014,18-02-2014,17712.19,Maurice Jones,Illum sed ut tempore minus.,accepted,important;internal;Negligible
" Monterail, Inc.",M93000,03/02/2013,02/23/2013,10088.30,Jedidiah Zulauf Jr.,"Sit dolor corrupti adipisci eaque.
Est molestiae a sunt natus quia sapiente repudiandae.
Laudantium consequatur veritatis.
Officiis praesentium explicabo et est sequi.",other,negligible;Delegation;Other;internal
 MS Szpadel,M43300,2013-10-26,2013-10-23,15572.64,Meredith Lang,Aperiam dolor perferendis nam.,rejected,negligible
KT Koty,K1910,13-03-2015,11-03-2015,11848.51,Frederick Morissette,Voluptatem amet praesentium laborum libero tenetur qui.,rejected,Important;Internal;negligible
 KT Koty,K38817,2013-08-02,2013-08-02,14584.6,Marjorie Hoeger,Dolor ut beatae.,accepted,delegation;negligible
" Monterail, Inc.",M18904,2013-02-07,2013-01-30,10695.32,Carleton O'Reilly I,"Vero id numquam ipsa praesentium dicta sit harum.
Commodi dolorem sed et.",rejected,Client
ACME,A28384,12-08-2014,04-08-2014,17895.13,Lorena McLaughlin,Velit accusamus quaerat non blanditiis occaecati aspernatur et.,accepted,other
 KT Koty,K66151,02-04-2013,29-03-2013,11487.89,Ken Hudson DDS,Voluptatem aut quisquam.,other,negligible
MS Szpadel,M91352,13-08-2014,09-08-2014,10424.33,Assunta Shields,Velit libero iusto dolorem atque omnis voluptatibus odit.,rejected,Important;negligible
 Ostrzy Entertainment,O92938,03/12/2015,03/08/2015,11093.34,Delbert Abbott,"Enim rerum fuga quia eveniet quam est.
Fuga modi dignissimos et ex.",rejected,delegation;important
KT Koty,K99968,11/02/2013,10/31/2013,17876.5,Samir Bins,A mollitia vel omnis et quaerat.,accepted,Other
 MS Szpadel,M66983,2014-11-16,2014-11-07,12666.0,Eduardo Braun,Beatae accusantium porro minima voluptas quo.,other,other;delegation
 Microsoft,M92001,2014-02-20,2014-02-13,19866.61,Jerome Howe,Voluptas non praesentium.,rejected,""
TT Internet,T70420,2014-03-06,2014-03-03,11282.86,Dr. Teresa Hirthe,"Praesentium ad fugiat.
Velit qui et nesciunt nostrum eum error maxime.
Esse dolor necessitatibus a nihil ut sed.
Accusamus voluptatibus eaque.",accepted,""
 Comcast,C9331,2015-02-22,2015-02-21,17694.1,Miss Jo Ritchie,"Et architecto dicta.
Est dolore eos consequatur quibusdam.
Dolor et quia enim enim.
Minus qui et assumenda sed quia nisi.",accepted,""
MS Szpadel,M38916,09/22/2014,09/16/2014,11515.88,Mr. Jayda Batz,Provident quos beatae qui iusto et.,accepted,Internal;Negligible;Other
 Microsoft,M80996,01/11/2013,01/10/2013,16429.21,Jacinto Turner II,Non quas odit blanditiis impedit qui eum at.,rejected,client;delegation
 TT Internet,T70920,12/12/2012,12/09/2012,13651.26,Evan Koepp,Occaecati doloremque magnam repudiandae reprehenderit.,rejected,internal;other;client;delegation;Negligible
Company X,C62689,02/11/2014,02/09/2014,18093.15,Kayli Schmidt,Hic cum et odio atque neque placeat sint.,rejected,Internal
Big Company 1,B92514,2014-01-19,2014-01-18,17316.42,Ludie Treutel,Fuga eos aspernatur vitae optio atque eum.,other,Delegation;internal;Negligible;Important
Wesoła Gżegżółka,W21433,08/26/2013,08/26/2013,16467.95,Chester Lind,"Sapiente et quis est aut eaque iusto ea.
Ut minima quaerat mollitia labore dolor.
Et iusto veritatis animi distinctio et.",rejected,client;internal;other;negligible
Wesoła Gżegżółka,W44932,2014-02-28,2014-02-23,17226.63,Rowena Stark,"Accusantium tenetur non asperiores repellat incidunt cupiditate.
Itaque dolorem non cupiditate ipsa.",accepted,internal;important;Negligible
Comcast,C41556,2013-01-10,2013-01-04,10093.83,Timmothy Rau V,Est iure dicta nostrum.,accepted,negligible;Internal;important;delegation;client
 ACME,A7506,2015-04-04,2015-03-28,12182.27,Miss Yvette Ullrich,"Voluptatum dignissimos enim odit necessitatibus.
Distinctio atque totam aliquid velit voluptates tempore.
Vitae quis velit quae natus quasi.",accepted,Delegation;Client;Negligible;other
"Monterail, Inc.",M40564,2015-03-08,2015-03-07,10347.71,Tyra Schaefer,"Natus qui qui omnis facere.
Et quo veritatis et odit mollitia.
Enim quia sed beatae quod cupiditate consequatur.
Voluptatibus voluptas dicta.",accepted,important;Client
 MS Szpadel,M8668,02/17/2014,02/09/2014,14827.41,Mr. Jennifer Marquardt,Accusamus et veniam reprehenderit eum sapiente.,other,Delegation;Internal;client;other;negligible
Comcast,C2080,2012-09-15,2012-09-08,19614.48,Miss Morton Haley,Eveniet delectus quisquam nemo.,accepted,other;Delegation;important
Comcast,C30832,09/04/2014,09/01/2014,19551.38,Landen Fay,"Ab incidunt quisquam cumque suscipit optio reprehenderit.
Quam et facere dolore quis ut.",accepted,negligible;Important;delegation;Client;other
 Comcast,C31550,10/17/2012,10/13/2012,14676.20,Dock Farrell,"Commodi voluptatibus omnis numquam nihil.
Placeat beatae voluptas consequatur.",other,negligible
Microsoft,M62663,2013-08-08,2013-07-31,19855.54,Gabriella Welch,Dolor ut perferendis voluptatibus.,accepted,other;negligible;delegation;Client
 Microsoft,M44505,11/28/2012,11/20/2012,15946.10,Augustus Schumm,Ipsum odio ut necessitatibus corporis.,other,""
Big Company 1,B5970,02/09/2013,02/01/2013,18131.75,Ms. Noemi Klocko,"Recusandae et nihil numquam hic quae praesentium suscipit.
Odio beatae vitae nostrum sapiente deserunt.",other,negligible;Other;client;delegation
SB Komputery,S95204,02-05-2013,28-04-2013,19006.27,Ashly Watsica,"Rerum temporibus mollitia veniam.
Quia id quia illo mollitia numquam.
Suscipit vero ipsam eos.
Aliquam repudiandae debitis adipisci.",rejected,delegation;important
 KT Koty,K95941,07-09-2013,29-08-2013,12958.71,Mrs. Elmer Kuhn,Impedit qui magni ad sit.,rejected,Negligible
Wesoła Gżegżółka,W76480,04-08-2014,30-07-2014,15583.1,Lia Terry,Totam ipsam qui velit qui vel.,accepted,negligible;client;Important
 Comcast,C25884,05-11-2013,30-10-2013,15217.89,Vilma Beahan,Ipsa aut eum repellendus.,rejected,Client;internal
" Monterail, Inc.",M35624,2013-04-21,2013-04-21,15504.4,Lisa Zulauf,Quos eos quia quod aliquam illum mollitia illo.,rejected,important
Comcast,C79146,2013-09-03,2013-08-27,19448.27,Miss Charles Lynch,"Nostrum dignissimos ipsa.
Esse necessitatibus non.",rejected,delegation;Other;client;important
 TT Internet,T20708,2014-07-15,2014-07-07,14594.2,Clovis Bednar,Molestiae dolorum doloribus mollitia quo.,rejected,Negligible;internal
 Comcast,C28253,02/23/2014,02/14/2014,10405.55,Merle Brekke,Sunt numquam quos.,accepted,delegation
 Ostrzy Entertainment,O61035,2013-06-12,2013-06-09,14808.61,Walter Roberts,Animi qui nemo.,other,""
 Microsoft,M48891,21-03-2015,20-03-2015,18301.64,Imani Hagenes DVM,Deserunt ab assumenda illum numquam.,other,negligible;Client;important;other;Internal
ACME,A96193,09/09/2012,09/01/2012,15268.56,Elnora Schmeler,Sed ad quam ex illum qui voluptatem provident.,other,delegation;client;internal;important;negligible
Wesoła Gżegżółka,W46720,2014-04-16,2014-04-08,10725.28,Leslie Ratke,"Molestiae est velit eum.
Aliquam necessitatibus deserunt laboriosam explicabo delectus.
Et ad placeat quas consequatur aut tempore accusantium.
Harum fuga sunt voluptas.",accepted,Important;Internal;client;negligible
Comcast,C39732,12/02/2012,11/25/2012,16390.99,Dr. Vesta O'Connell,Placeat quia sed libero sint ut dolores.,rejected,other
"Monterail, Inc.",M95739,07/24/2014,07/23/2014,14594.98,Theresa Heller,Autem nisi libero autem veritatis natus iusto.,accepted,internal;client;Other
 ACME,A18314,12/07/2012,12/05/2012,14855.0,Alverta Koss,Delectus non vel laboriosam ea.,other,delegation;internal;important;Negligible
Wesoła Gżegżółka,W53614,12-02-2013,10-02-2013,19749.30,Kenya Greenfelder,"Impedit debitis omnis eius repellat hic.
Excepturi delectus veniam expedita deserunt.
Accusamus et eum ut laborum officia cumque quo.",other,Delegation;negligible;client;important;internal
TT Internet,T30182,2013-04-14,2013-04-06,18803.87,Erna Predovic,Occaecati est commodi.,rejected,internal
 KT Koty,K20666,09/23/2014,09/17/2014,12723.90,Eloise King,"Non atque sit eum.
Quod et cumque porro est ullam sint.
Sit aut qui magni corporis quae expedita reprehenderit.",accepted,internal;other
ACME,A27510,2015-05-07,2015-04-28,14087.98,Dr. Mavis Bergnaum,Voluptatem adipisci doloribus dolore autem qui.,rejected,other;important;Negligible;Delegation
 MS Szpadel,M97804,2013-08-08,2013-08-05,16515.19,Mrs. Alexandro Schoen,Est ipsum voluptatem.,rejected,""
MS Szpadel,M3593,12/04/2014,11/28/2014,11759.12,Kari Bechtelar,Et sit ut consequatur eos rem nostrum.,accepted,Delegation;internal;other;Client
" Monterail, Inc.",M68315,14-05-2014,08-05-2014,11206.0,Jadon Franecki,Et dolorem possimus voluptatem minus illum.,rejected,other;important;internal
 SB Komputery,S152,2014-12-30,2014-12-27,19631.12,Delores Beier DVM,Quia illo sunt.,rejected,important;client
Microsoft,M87087,15-06-2014,09-06-2014,13305.90,Brando Nienow,Quibusdam voluptate labore mollitia voluptas voluptates.,other,internal;delegation;important;Client
 KT Koty,K74197,2014-05-18,2014-05-11,11037.32,Betsy Emmerich,Animi velit et hic eos odio rerum.,rejected,internal;client
 Company X,C64678,24-10-2013,22-10-2013,18409.17,Beaulah Hirthe,"Quia omnis vel asperiores.
Et nulla sunt eius perferendis voluptate.
Alias velit cum.
Doloremque ut totam rerum.",rejected,Client;negligible;internal;other;Delegation
 TT Internet,T15798,11/23/2014,11/16/2014,14149.55,Eunice Torphy DVM,Incidunt ipsum omnis nam voluptatibus.,accepted,Delegation
 Wesoła Gżegżółka,W39239,10/23/2012,10/22/2012,10923.34,Dr. Brayan Fadel,Ipsum possimus sit sunt alias.,other,negligible;Important;delegation;internal;client
 Microsoft,M32956,08/31/2013,08/26/2013,14268.44,Hilton Graham,Voluptas omnis id hic at molestias.,rejected,client;Negligible;other
 Ostrzy Entertainment,O55450,01-09-2014,31-08-2014,14503.16,Irma Farrell,Iure sed suscipit velit cumque quod assumenda perspiciatis.,rejected,other;client
 TT Internet,T24549,20-02-2013,17-02-2013,16984.61,Casandra Effertz,Exercitationem deserunt tempora aspernatur veniam quisquam veritatis.,rejected,client;Delegation;other
Comcast,C55775,04/15/2015,04/13/2015,13495.87,Antwan Denesik,Numquam repellat incidunt dolorem.,accepted,Client;negligible;important
Comcast,C94367,12/02/2014,12/01/2014,19017.0,Gerhard Fritsch DVM,"In labore officia laborum quis amet sed ut.
Porro consectetur velit molestiae qui sit.
Rerum non itaque rem ab.",accepted,other;Internal
Ostrzy Entertainment,O81807,2013-02-17,2013-02-10,18501.65,Gladyce Turner,"Ut voluptas eaque sit.
Et ipsum sequi explicabo velit rerum placeat.
Necessitatibus asperiores suscipit et.",accepted,internal;delegation;important
 KT Koty,K12429,10/07/2012,09/30/2012,11377.15,Kendall Schiller,"Et non voluptates et.
Quas et quia id eum dolores et et.
Aspernatur amet assumenda provident eos nobis.",accepted,Negligible;Client
 Microsoft,M57339,05/28/2013,05/20/2013,19989.77,Talon Morissette,Non alias aut dignissimos libero.,other,Negligible
KT Koty,K69072,03/12/2015,03/08/2015,19956.36,Aylin Stoltenberg,"Rerum provident debitis saepe.
Id laudantium repellendus.
Quia earum et.
Sint voluptas ex repellat id exercitationem voluptas et.",other,other;delegation
 BP Biznes,B25795,01-03-2014,26-02-2014,10621.38,Laila Marvin,"Incidunt excepturi enim fuga.
Voluptatem dolores ipsam sit ad perferendis.
Quibusdam quia aut neque et corporis quas qui.
Eum qui expedita repellendus nam voluptatum molestias commodi.",other,negligible;Important;Other
" Monterail, Inc.",M67815,05-06-2014,04-06-2014,15331.57,Theodora Reynolds,Beatae qui odit placeat quia molestiae quisquam quos.,other,Negligible;other;Internal;delegation
 Wesoła Gżegżółka,W87583,2013-12-29,2013-12-21,18488.86,Maximillia O'Reilly,Ab praesentium quibusdam molestiae iusto consequuntur.,rejected,delegation;Other
Microsoft,M51647,2013-07-27,2013-07-25,16444.68,Hilton Rath,"Non voluptatem tempore odio sed nobis ad in.
Mollitia nemo omnis fugit quia sit.
Blanditiis autem cum saepe repellat omnis.",other,delegation;important;other;Negligible
 Comcast,C84775,02/20/2013,02/15/2013,13720.14,Dallas Oberbrunner,Deleniti distinctio velit ut.,other,delegation;important;client
KT Koty,K27881,11/01/2012,10/31/2012,15534.24,Miss Maxie White,"Sequi autem reiciendis occaecati.
Nihil et voluptatem aspernatur modi.",other,""
 Big Company 1,B26093,2012-10-21,2012-10-13,16038.26,Urban Rice Sr.,Et neque dicta corrupti reprehenderit hic consectetur est.,accepted,Client;other;internal;Important
 Big Company 1,B63602,01/30/2014,01/23/2014,19425.70,Brenna Mueller,"Voluptatum ea quis modi consequatur vel reiciendis atque.
Corporis sunt fugiat.
Aut harum dolores.",rejected,negligible;internal;important
"Monterail, Inc.",M10121,2014-01-08,2014-01-06,13516.83,Ona Ratke,Rerum repellendus qui eaque similique tempora aut.,accepted,Delegation;negligible;Other
" Monterail, Inc.",M17456,20-01-2014,16-01-2014,14400.59,Kathlyn Jerde,Excepturi est tempore nostrum accusamus aut voluptatum et.,rejected,client;negligible;internal;important;other
SB Komputery,S34696,26-01-2013,22-01-2013,10513.33,Delta Schoen PhD,Et ab minus.,accepted,delegation
KT Koty,K38644,2014-01-08,2013-12-30,15138.16,Davon Lindgren DVM,"Est fugiat laudantium vel.
Nam magni ipsa ea.
Delectus cupiditate et porro magni vel recusandae.",rejected,Internal
Ostrzy Entertainment,O75287,2014-04-21,2014-04-15,15612.69,Martin Maggio,"Nihil in quo vitae odio omnis.
Voluptatem tempora sit nemo officia nulla autem quia.",other,client;internal;important;Delegation
Ostrzy Entertainment,O75437,2015-03-11,2015-03-07,14439.70,Maggie Barrows,"Qui ut et eligendi nesciunt.
Dolorem qui similique distinctio porro.
Fuga in sed.
Dolore et quas recusandae est.",accepted,client;delegation
"Monterail, Inc.",M73840,2013-10-04,2013-09-30,17089.42,Ike Hartmann,"Atque error nobis soluta.
Omnis aspernatur nisi dolore consequatur.
Quia natus et qui illum excepturi.",rejected,Negligible;Delegation;internal
Microsoft,M52366,04/22/2015,04/22/2015,11866.14,Major Gottlieb,Et molestiae aliquam.,rejected,other
 Wesoła Gżegżółka,W95005,2013-10-21,2013-10-13,13745.6,Muhammad Feil,Eligendi est reprehenderit delectus.,other,""
TT Internet,T12654,06-04-2015,28-03-2015,15676.34,Amelia Schowalter,Nam enim rerum.,rejected,negligible
Big Company 1,B27176,04/30/2013,04/30/2013,14482.55,Imani Legros,"Numquam ut iusto dolore mollitia exercitationem.
Et nostrum eum.
Sint dolorem quis eius nemo.
In mollitia dolore temporibus dignissimos.",rejected,""
 Wesoła Gżegżółka,W35797,2013-06-20,2013-06-12,11751.72,Connor Littel II,"Aut est quia illo maxime magnam velit.
Dolores ab id ducimus rem non.",other,Important;internal;client;Other;delegation
 KT Koty,K98397,09/20/2014,09/16/2014,12693.88,Enrico Beier,"Recusandae dolores sint non hic.
Magnam voluptatem laudantium.",accepted,""
 Wesoła Gżegżółka,W36888,16-08-2014,14-08-2014,14621.16,Jeffery Veum,Vel dolores est.,rejected,Important;Client
Big Company 1,B86827,05-05-2014,03-05-2014,17509.2,Genoveva Jacobs,"Explicabo libero asperiores nam quis deleniti.
Repellat dicta quis omnis ducimus aut.",rejected,Delegation;Client;negligible;Internal
 MS Szpadel,M20287,2013-10-27,2013-10-23,10064.83,Miss Carleton Beier,Eveniet culpa nisi.,accepted,other
Big Company 1,B5534,04/18/2013,04/13/2013,12380.62,Dr. Meredith Gerlach,"Ut repellendus voluptas quidem illum fuga.
Et nesciunt voluptatum aut dolores omnis porro.",rejected,important;internal;Negligible;Other
ACME,A51999,15-03-2015,08-03-2015,16208.75,Miss Rowan Beier,Quaerat illum eligendi.,rejected,other;Internal;delegation;Important
 Big Company 1,B58325,11/15/2012,11/15/2012,16366.46,Lupe Sporer,Est saepe cupiditate debitis sequi nihil quasi.,other,negligible;internal;Delegation;other
 KT Koty,K27212,2014-03-19,2014-03-16,10509.26,Eunice Kohler,Voluptatem et assumenda enim optio omnis eum.,rejected,Client;important;internal
 SB Komputery,S51523,09/17/2013,09/09/2013,12884.96,Jeramy Williamson,At corporis consectetur.,accepted,other;delegation;negligible;important;internal
MS Szpadel,M48697,2013-06-05,2013-06-01,14684.83,Sydnee Schinner,Eum repellat tenetur harum veritatis quia ut.,accepted,""
 Company X,C19582,01-10-2012,24-09-2012,16312.65,Nils Kreiger,Libero neque maiores cum minima non.,accepted,negligible;Internal;delegation
Ostrzy Entertainment,O82766,2013-08-13,2013-08-10,12170.40,Ryder Schamberger,Sed excepturi et.,accepted,delegation
 MS Szpadel,M95520,2013-05-13,2013-05-09,16333.19,Arnaldo McLaughlin,"Dolorem consequatur architecto voluptatum qui distinctio et.
Quasi ex numquam quo quia aut est unde.
Sint eos reiciendis.",rejected,Internal
Company X,C18489,07/04/2014,07/04/2014,16304.47,Ike Hahn,Qui et molestiae odit doloribus.,accepted,other;negligible;client;important;internal
MS Szpadel,M5764,2013-03-11,2013-03-07,12004.79,Nelle Brakus,Aut commodi voluptatem.,accepted,internal;Other;Client;important
SB Komputery,S56253,2015-01-29,2015-01-24,15058.53,Richmond Swift,Ut et sed nisi aut est.,rejected,negligible;Client;other;Internal
Big Company 1,B15007,06/08/2014,06/07/2014,14803.69,Harrison Jacobs DVM,Exercitationem laboriosam minus.,accepted,Important;other
 Wesoła Gżegżółka,W76866,01/27/2015,01/23/2015,15548.72,Rocky Haley,"Quod non cupiditate sit natus nesciunt voluptas.
Non aliquam totam deleniti quisquam delectus.",other,""
Big Company 1,B36864,09/27/2012,09/18/2012,16500.83,Mabel Cruickshank,"Omnis nisi repellat quam est velit.
Quo possimus id consequatur adipisci earum.
Dolorum harum deserunt.
Veritatis placeat rerum magnam.",rejected,internal;Client
Ostrzy Entertainment,O53089,03/13/2014,03/08/2014,11250.38,Matteo Weimann V,"Ab adipisci minus quia fugiat.
Quasi quos blanditiis voluptate magnam laudantium ut.
Recusandae est et molestiae et eligendi dolorem.",rejected,""
 ACME,A6508,2014-12-12,2014-12-11,19742.75,Danial Koepp PhD,"Reprehenderit ex cumque quisquam accusamus tenetur eius eligendi.
Quidem labore sit quaerat.
Nemo non aut.",rejected,important;delegation;client
TT Internet,T69066,17-10-2014,11-10-2014,12736.37,Mrs. Marshall Rutherford,Sequi aspernatur et incidunt amet sed et.,rejected,Delegation;negligible
 ACME,A31074,27-02-2015,23-02-2015,13438.15,Brant Brekke V,Omnis ad provident et voluptas laudantium nihil quaerat.,other,Important;Delegation;negligible;Client
Ostrzy Entertainment,O30582,2013-01-30,2013-01-30,11674.10,Nia Ullrich,Et est totam fugit.,other,Negligible
" Monterail, Inc.",M41954,09-12-2012,02-12-2012,15672.52,Hillard Konopelski,"Nostrum dicta qui.
Corrupti sint consequatur aut expedita et.
Qui aut provident similique sit ab.
Qui error qui reiciendis eum voluptates ducimus.",other,""
BP Biznes,B17656,2015-01-20,2015-01-11,13549.6,Hilma Smith,Dicta dolorum adipisci quas rerum cumque.,accepted,client
 BP Biznes,B29734,25-01-2014,25-01-2014,11385.45,Geraldine Erdman,Esse minus molestias non.,rejected,""
 Ostrzy Entertainment,O89262,03/19/2014,03/15/2014,18527.9,Madalyn Greenfelder,"Veritatis voluptatem rerum magnam.
Error vero voluptatem libero beatae a blanditiis consectetur.
Aut velit ut sed est.
Ipsa nulla velit eaque in delectus.",other,Negligible;client
ACME,A62066,2013-05-13,2013-05-06,14502.22,Hilton O'Conner,"Minus molestias deserunt.
Voluptas maiores voluptatem nulla sit sunt.
Itaque corporis numquam minus sint.",rejected,internal;delegation;negligible;client;important
TT Internet,T28759,11-06-2014,09-06-2014,15507.78,Mr. Modesto Mosciski,"Dolor sint est.
Voluptates ut exercitationem inventore non maiores.
Tenetur deserunt non et recusandae.",accepted,""
MS Szpadel,M17872,04-06-2013,31-05-2013,14563.54,Jada Pouros,"Sit eos dolorem dolore qui.
Qui reiciendis odio.
Dolorum pariatur corporis odio qui voluptatibus eum.",other,""
 KT Koty,K13562,12/04/2012,11/29/2012,11510.79,Dexter Kuhic,Architecto veniam libero est.,accepted,internal;other;important;client;negligible
 Big Company 1,B744,06/18/2014,06/12/2014,16229.34,Miss Lexi Upton,Ut facere porro rem non temporibus.,rejected,internal
 Wesoła Gżegżółka,W13521,11/28/2012,11/22/2012,15637.49,Ryleigh Cummings,Laborum quo quasi non.,other,delegation;negligible
 ACME,A61815,08/27/2013,08/21/2013,12025.90,Zoe Stanton DDS,"Reprehenderit magni totam dolorum rerum.
Sit necessitatibus aperiam.",other,Other;Internal;negligible;delegation;important
 Company X,C15730,01/30/2015,01/26/2015,15858.34,Jedediah Goldner,Est itaque laudantium.,other,important;negligible;other
Wesoła Gżegżółka,W7148,10/07/2012,10/04/2012,19669.71,Amara Blick Sr.,Vitae fugit est sapiente ut.,rejected,other;internal
Big Company 1,B73637,31-01-2014,27-01-2014,12097.16,Cornelius Yundt,"Hic quia iste modi voluptas.
Eum aut tempora.
Sequi nisi voluptatum dolorem distinctio ut perferendis.",other,important
BP Biznes,B41961,07-09-2014,05-09-2014,15273.22,Loren Schaden,Voluptatem iure assumenda id dolores veniam officia.,accepted,""
 Microsoft,M38046,30-01-2014,26-01-2014,13357.45,Ms. Drake O'Connell,"Et nesciunt est minus.
Architecto ex eos inventore quam et aperiam.
Est eum reprehenderit.
Iste et omnis perspiciatis.",accepted,important;client;negligible;internal;other
 SB Komputery,S79238,2015-04-13,2015-04-06,14854.2,Rosalee Kuphal,Iure et deserunt.,rejected,""
Wesoła Gżegżółka,W82846,2014-08-24,2014-08-22,17843.29,Marcos Hudson,Repellat cupiditate dolorum.,other,Delegation
